-0.4498	-0.0811	-0.5218	-0.1180	1.0742	0.6781	0.2585	-0.1012	-0.4417	0.1794	-0.0222	0.6470	-0.1983	-0.4978	1.0690	-0.2642	-0.1785	-0.3010	0.6710	-0.3102	0.6590	0.7471	0.3547	-0.0132	-0.6850	0.8248	-0.1915	0.1099	-0.2985	0.1323	-0.3519	-0.9232
-0.4559	2.4573	-0.2284	-0.2406	1.2438	-0.2388	1.0155	0.4570	-0.7818	-0.7295	0.3075	0.7289	-2.0634	-0.5170	-1.0387	-0.1442	0.0839	0.4959	-0.8928	-0.1411	1.5159	-0.1745	-0.3288	-0.8225	-0.9952	-0.6443	-0.7656	-0.7471	0.6443	-0.4432	-0.5834	-0.7869
-0.2840	0.2819	-0.5406	-0.1949	0.4134	0.3733	0.7129	0.9493	-0.7126	-0.3329	0.3012	0.2431	0.8533	-0.7014	-0.3346	-0.1284	-0.2827	0.1445	-0.0975	-0.3433	-0.1521	-0.8957	-0.0267	0.0520	0.3150	-0.0740	-0.0121	0.1482	0.3057	-0.1879	-0.1093	-0.5099
0.1248	0.1958	-0.5808	0.1822	0.4093	0.3409	0.4144	0.6225	-1.2151	-0.3357	-0.4454	1.1733	0.4178	1.0428	-0.1751	0.2391	0.3030	0.3209	0.3599	0.4123	-0.4503	-0.1989	-0.4630	1.6947	-0.8759	-0.2754	-0.1218	-0.1380	0.9663	0.0486	-0.5935	-0.5691
-0.2071	-0.2927	-0.7582	-0.5507	0.5450	0.6723	0.6003	-0.1757	-0.7654	0.5515	-0.3218	0.3261	0.0123	-0.2431	0.6377	-0.8213	-0.4143	0.0430	-0.8429	0.5573	1.0623	0.1195	-0.2841	0.0447	-0.0027	1.4949	-0.2297	-0.2335	0.2256	-0.1374	-0.2567	-0.2805
-0.0615	0.4740	-0.6714	0.7134	-0.1274	0.5970	0.4955	1.4200	-1.0962	-0.5616	-0.4069	-1.3141	-0.9678	0.1089	-0.4971	-1.4115	-0.1039	0.1627	-0.1619	-0.1465	0.1252	0.6606	-0.3230	0.8902	-0.5710	0.4341	-0.5730	1.3505	-0.7702	0.5786	0.2086	-0.3259
0.5975	-0.4027	-0.5454	-0.4344	-0.1101	-0.1830	0.3779	0.3595	-0.8631	-0.5884	0.2794	0.5621	-0.3202	-0.3198	0.0885	-0.1078	0.3521	-0.6728	-0.2982	-1.5253	0.3053	1.0952	0.0303	0.0708	0.1567	0.2352	0.0304	-0.9003	-0.3089	-0.1770	0.1961	-1.5376
0.7711	0.1615	-0.4588	-0.1082	0.6399	0.3868	-0.3313	0.3782	-0.5208	-0.1326	0.3118	0.0331	0.0264	-0.4105	-1.8578	0.6372	-0.7844	-0.2589	-0.2687	0.3130	0.2601	0.5545	-0.1357	0.0821	-0.1700	0.9813	-0.4525	-0.2870	-0.0872	-1.2652	0.1228	-0.6668
0.4793	-0.4633	-0.1950	0.7712	0.7582	0.8894	0.8403	-1.0028	-0.4637	-0.6717	0.0270	0.1306	-0.4169	-0.7029	-0.8063	-0.8914	1.4071	-0.4683	-0.3022	0.1043	0.0980	-0.4223	0.3793	0.1588	-0.5054	0.3447	0.7252	0.2234	0.3755	-0.5811	-0.4543	-0.2157
-0.1707	-0.2763	-2.1218	0.4911	0.5370	0.3809	-0.5712	0.4575	0.8693	0.5839	0.0890	0.9179	-0.1486	0.8147	-1.0101	-0.3876	0.9196	1.8079	-0.1996	-0.9041	0.9863	-0.8811	0.2375	-0.0822	-0.2470	0.2773	0.1665	0.4034	-0.0077	-0.0309	1.1205	-1.2504
